Account ,Date,Transaction Type,No.,Name,Memo/Description,Split,Amount,Balance
Apple Account,,,,,,,,
,4/1/2022,Transaction,,Online Sale,,Receivables,3.15,3.15
,4/1/2022,Transaction,,Online Sale,,Receivables,6.22,9.37
,5/1/2022,Transaction,,Online Sale,,Receivables,5.51,14.88
,6/1/2022,Transaction,,Online Sale,,Receivables,3.83,18.71
,6/1/2022,Transaction,,Online Sale,,Receivables,2.98,21.69
,7/1/2022,Transaction,,Online Sale,,Receivables,5.41,27.1
,7/1/2022,Transaction,,Online Sale,,Receivables,3.29,30.39
,11/1/2022,Transaction,,Online Sale,,Receivables,3.54,33.93
,11/1/2022,Transaction,,Online Sale,,Receivables,1.35,35.28
Total for Apple Account,,,,,,,£0.00  ,
Cash Reserve,,,,,,,,
,26/04/2022,Reimbursement,1890,John Doe,,Orders in Hand/Deferred Income,"-4,697.50","-4,697.50"
,26/04/2022,Transaction,,John Doe,,Receivables,"4,697.50",0
Total for Cash Reserve,,,,,,,£0.00  ,
Business Card,,,,,,,,
,15/01/2022,Fund Transfer,,,,EastX Bank,"3,241.02","3,241.02"
,31/01/2022,Bank Draft,764,,,MARKETING/SELLING:Postage and Delivery,-34.33,"3,206.69"
,31/01/2022,Bank Draft,763,,,-Split-,-176.45,"3,030.24"
,31/01/2022,Bank Draft,769,,,-Split-,-96.09,"2,934.15"
,31/01/2022,Bank Draft,768,,,-Split-,-113.13,"2,821.02"
,31/01/2022,Bank Draft,770,,,MARKETING/SELLING:Subsistasnce and Entertainment expenses,-205,"2,616.02"
,31/01/2022,Bank Draft,767,,,-Split-,-311.19,"2,304.83"
,31/01/2022,Bank Draft,766,,,-Split-,-557.7,"1,747.13"
,31/01/2022,Expense Transaction (Bank Draft),762,Heritage pvt Ltd,,Payables,"-1,509.60",237.53
,31/01/2022,Bank Draft,765,,,-Split-,-237.53,0
,11/2/2022,Fund Transfer,,,,EastX Bank,"4,273.16","4,273.16"
Total for Business Card,,,,,,,£0.00  ,
EastX Bank,,,,,,,,
,Beginning Balance,,,,,,,"102,365.42"
,2/12/2022,Transaction,,Northwood Group Norway AS,,Receivables,858,"6,353.74"
,2/12/2022,Transaction,,The Traditional English cases Ltd,,Receivables,743.22,"7,096.96"
,6/12/2022,Transaction,,David Austin,,Receivables,"26,685.00","33,781.96"
,7/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"-150,000.00","-116,218.04"
,7/12/2022,Transaction,,Outdoor Outfitters,,Receivables,"364,173.80","247,955.76"
,8/12/2022,Expense Transaction (Bank Draft),9370,Northwood Group UK Vendor,,Payables,"-18,242.40","229,713.36"
,8/12/2022,Expense Transaction (Bank Draft),9368,Northwood Group,,Payables,"-116,779.30","112,934.06"
,10/12/2022,Transaction,,David Modesett,,Receivables,"147,820.00","260,754.06"
,10/12/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,Receivables,"15,987.75","276,741.81"
,12/12/2022,Ledger Entry,3394,,Refund of overTransaction being received from Lothar,-Split-,"1,117.81","277,859.62"
,12/12/2022,Ledger Entry,3394,,Refund of overTransaction being received from Lothar,-Split-,"3,341.13","281,200.75"
